stage,epoch,loss,energy_contraction,validation_contraction,validation_objective,gate_mean,accepted
global_selector,1,2.7315772771835327,,1.0,2.7251529693603516,,True
nn_smoother,1,-1.462492287158966,0.2316581843808616,0.2098651336671817,-1.5612901151180267,0.0,True
nn_smoother,2,-1.6482479572296143,0.19238666850425107,0.20615327891270202,-1.5791352689266205,0.0,True
learned_transfer,1,-0.839192122220993,0.43205942818945436,0.3327560730454274,-1.1003455966711044,0.0,False
learned_transfer,2,-1.3746339678764343,0.2529321480060209,0.3328418195268443,-1.1000879108905792,0.0,False
combined,1,-1.1090366840362549,0.32987657654146135,0.2629009126779554,-1.3359780311584473,0.0,True
detector,1,0.1337825506925583,0.02198031300213188,0.04140369992819615,0.18228932283818722,0.0758042186498642,True
adaptive,1,-1.3375003337860107,0.2620539398028949,0.2949457704846037,-1.218772679567337,0.0568183995783329,True
