n,case,mode,safety_profile,strategy,converged,iterations,relative_residual,asymptotic_contraction,elapsed_seconds,setup_seconds,solve_seconds,work_units,safety_work_units,nn_calls,transfer_nn_calls,smoother_nn_calls,detector_nn_calls,selector_nn_calls,nn_seconds,matvec_count,true_residual_points,mean_gate,fallback_count,selected_strategy,hierarchy_rebuilds,active_patch_fraction,active_cell_fraction,alpha_count,alpha_mean,alpha_median,alpha_p10,alpha_p90,alpha_zero_fraction,alpha_active_fraction,relative_solution_error
15,checkerboard,combined,raw,jacobi_bilinear_full,False,3,0.2595711388764731,0.6378993126651975,0.0293184049996853,0.013930240000263439,0.01538816499942186,38.4892942109437,0.0,14,2,12,0,0,0.015860754000641464,22,4,0.0,0,jacobi_bilinear_full,0,0.0,0.0,0,,,,,,0.0,0.17360337296048947
15,checkerboard,adaptive,raw,jacobi_bilinear_full,False,3,0.17538290195962333,0.5597521245236718,0.03853709200029698,0.0012986580004508141,0.037238433999846166,27.65979381443299,0.0,12,0,0,12,0,0.017364466001708934,34,4,0.0,0,jacobi_bilinear_full,2,0.0,0.0,0,,,,,,0.0,0.1645941660564856
15,checkerboard,adaptive,safe,jacobi_bilinear_full,False,3,0.17538290195962333,0.5597521245236718,0.15441304100022535,0.02212353999948391,0.13228950100074144,49.60190325138779,21.942109436954798,12,0,0,12,0,0.07716236299984303,58,4,0.0,0,jacobi_bilinear_full,2,0.0,0.0,12,0.0,0.0,0.0,0.0,1.0,0.0,0.1645941660564856
15,channel,classical,raw,jacobi_bilinear_full,False,3,0.02538709170993244,0.2939032017777752,0.006312718999652134,0.004496886000197264,0.0018158329994548694,20.64541484716157,0.0,0,0,0,0,0,0.0,22,4,0.0,0,jacobi_bilinear_full,0,0.0,0.0,0,,,,,,0.0,0.016479814277167704
15,channel,nn_smoother,raw,jacobi_bilinear_full,False,3,0.02758925440666008,0.3021667368907278,0.03453625899965118,0.004195161000097869,0.030341097999553313,20.64541484716157,0.0,12,0,12,0,0,0.024943454001004284,22,4,0.0,0,jacobi_bilinear_full,0,0.0,0.0,0,,,,,,0.0,0.01524740631485227
15,channel,learned_transfer,raw,jacobi_bilinear_full,False,3,0.025421110822108937,0.2940344215258997,0.01306631199986441,0.011142727000333252,0.0019235849995311582,41.071615720524015,0.0,2,2,0,0,0,0.002093498000249383,22,4,0.0,0,jacobi_bilinear_full,0,0.0,0.0,0,,,,,,0.0,0.01650146120305172
15,channel,combined,raw,jacobi_bilinear_full,False,3,0.027635876274342382,0.30233684719929443,0.041929128000447236,0.019059998000557243,0.022869129999889992,41.071615720524015,0.0,14,2,12,0,0,0.020666440001150477,22,4,0.0,0,jacobi_bilinear_full,0,0.0,0.0,0,,,,,,0.0,0.015275473036511748
15,channel,adaptive,raw,jacobi_bilinear_full,False,3,0.02538709170993244,0.2939032017777752,0.0681401840001854,0.001417059000232257,0.06672312499995314,28.53711790393013,0.0,12,0,0,12,0,0.04150473200024862,34,4,0.0,0,jacobi_bilinear_full,2,0.0,0.0,0,,,,,,0.0,0.016479814277167704
15,channel,adaptive,safe,jacobi_bilinear_full,False,3,0.02538709170993244,0.2939032017777752,0.03152034800041292,0.00504115500007174,0.026479193000341184,51.182532751091706,22.64541484716157,12,0,0,12,0,0.008738144002563786,58,4,0.0,0,jacobi_bilinear_full,2,0.0,0.0,12,0.0,0.0,0.0,0.0,1.0,0.0,0.016479814277167704
31,rotated_anisotropy,classical,raw,jacobi_bilinear_full,False,3,0.019925317002791907,0.2711034721627291,0.02754793299936864,0.024794060999738576,0.0027538719996300642,19.6827650054004,0.0,0,0,0,0,0,0.0,31,4,0.0,0,jacobi_bilinear_full,0,0.0,0.0,0,,,,,,0.0,0.0054043153396666765
