n,case,strategy,smoother,transfer,coarsening,converged,iterations,relative_residual,asymptotic_contraction,elapsed_seconds,setup_seconds,solve_seconds,work_units,safety_work_units,nn_calls,transfer_nn_calls,smoother_nn_calls,detector_nn_calls,selector_nn_calls,nn_seconds,matvec_count,true_residual_points,mean_gate,fallback_count,selected_strategy,hierarchy_rebuilds,active_patch_fraction,active_cell_fraction,alpha_count,alpha_mean,alpha_median,alpha_p10,alpha_p90,alpha_zero_fraction,alpha_active_fraction,relative_solution_error
31,rotated_anisotropy,jacobi_bilinear_full,jacobi,bilinear,full,False,12,0.0005658097481035755,0.7893709274345428,0.01676641300036863,0.007033124999907159,0.00973328800046147,75.7310600216016,0.0,0,0,0,0,0,0.0,121,13,0.0,0,jacobi_bilinear_full,0,0.0,0.0,0,,,,,,0.0,0.0005285989612105014
31,rotated_anisotropy,line_x_bilinear_full,line_x,bilinear,full,False,12,0.0029574250132407766,0.9387662236113705,0.11544250400038436,0.006671705999906408,0.10877079800047795,116.66918685388057,0.0,0,0,0,0,0,0.0,121,13,0.0,0,line_x_bilinear_full,0,0.0,0.0,0,,,,,,0.0,0.001731877068653989
31,rotated_anisotropy,line_y_bilinear_full,line_y,bilinear,full,False,12,0.002957425013239112,0.938766223611268,0.10548695800025598,0.008413821999965876,0.0970731360002901,116.66918685388057,0.0,0,0,0,0,0,0.0,121,13,0.0,0,line_y_bilinear_full,0,0.0,0.0,0,,,,,,0.0,0.0017318770686539952
31,rotated_anisotropy,line_alt_bilinear_full,line_alt,bilinear,full,False,12,0.0024362854092644316,0.8599439642437914,0.1765881179999269,0.008013628000298922,0.16857448999962799,162.18068199351953,0.0,0,0,0,0,0,0.0,121,13,0.0,0,line_alt_bilinear_full,0,0.0,0.0,0,,,,,,0.0,0.0012078961569794763
31,rotated_anisotropy,jacobi_operator_full,jacobi,operator,full,False,12,0.04629473125893602,0.7958151443458031,0.03505798600053822,0.024194528000407445,0.010863458000130777,144.8241012189477,0.0,0,0,0,0,0,0.0,121,13,0.0,0,jacobi_operator_full,0,0.0,0.0,0,,,,,,0.0,0.041527583993561344
31,rotated_anisotropy,line_alt_operator_full,line_alt,operator,full,False,12,0.010725189931975907,0.8566465637530274,0.1821425170001021,0.0239328289999321,0.15820968800017,310.6762845239932,0.0,0,0,0,0,0,0.0,121,13,0.0,0,line_alt_operator_full,0,0.0,0.0,0,,,,,,0.0,0.007376214987966597
31,rotated_anisotropy,line_x_operator_semi_y,line_x,operator,semi_y,False,12,0.0033652938300531574,0.7954861456572234,0.15594496199901187,0.04518502699920646,0.11075993499980541,337.30365684307975,0.0,0,0,0,0,0,0.0,229,13,0.0,0,line_x_operator_semi_y,0,0.0,0.0,0,,,,,,0.0,0.0018599103378328173
31,rotated_anisotropy,line_y_operator_semi_x,line_y,operator,semi_x,False,12,0.0033652938300531366,0.7954861456572249,0.15494722600033128,0.0425013289996059,0.11244589700072538,343.1212775806203,0.0,0,0,0,0,0,0.0,229,13,0.0,0,line_y_operator_semi_x,0,0.0,0.0,0,,,,,,0.0,0.0018599103378328324
31,rotated_anisotropy,line_alt_operator_alternating,line_alt,operator,alternating,False,12,0.003603017198215391,0.8522436724395172,0.3587511249997988,0.04718078899986722,0.31157033599993156,560.6210461348558,0.0,0,0,0,0,0,0.0,229,13,0.0,0,line_alt_operator_alternating,0,0.0,0.0,0,,,,,,0.0,0.001976221185013809
31,local_patch,jacobi_bilinear_full,jacobi,bilinear,full,False,12,0.002552845343964853,0.902038573084512,0.015463606999219337,0.0063391999992745696,0.009124406999944767,83.17715525744723,0.0,0,0,0,0,0,0.0,121,13,0.0,0,jacobi_bilinear_full,0,0.0,0.0,0,,,,,,0.0,0.05280245032025631
31,local_patch,line_x_bilinear_full,line_x,bilinear,full,False,12,0.0022142988261134003,0.8601381885735719,0.1127644109992616,0.006216795000000275,0.10654761599926132,128.83349773130794,0.0,0,0,0,0,0,0.0,121,13,0.0,0,line_x_bilinear_full,0,0.0,0.0,0,,,,,,0.0,0.049615497979108275
