stage,epoch,loss,energy_contraction,validation_contraction,validation_objective,gate_mean,accepted
global_selector,1,2.7205464442571006,,1.0,2.7002015709877014,,True
global_selector,2,2.689335743586222,,1.0,2.656827747821808,,True
global_selector,3,2.6402987241744995,,1.0,2.5998697876930237,,True
global_selector,4,2.5671056111653647,,1.0,2.5196653008461,,True
global_selector,5,2.5049134492874146,,1.0,2.4090770483016968,,True
global_selector,6,2.3564096291859946,,1.0,2.252077639102936,,True
global_selector,7,2.1860407988230386,,1.0,2.046476125717163,,True
global_selector,8,1.980783740679423,,1.0,1.7820716500282288,,True
global_selector,9,1.696237564086914,,0.75,1.4373138546943665,,True
global_selector,10,1.3164823551972706,,0.75,1.0551614165306091,,True
global_selector,11,0.8236124614874522,,0.0,0.696928896009922,,True
global_selector,12,0.7429686784744263,,0.0,0.4078093506395817,,True
global_selector,13,0.4077332578599453,,0.0,0.20747324591502547,,True
global_selector,14,0.2302279050151507,,0.0,0.09432808891870081,,True
global_selector,15,0.07932851385946076,,0.0,0.045764884795062244,,True
nn_smoother,1,-3.307241996129354,0.03661701394187924,0.04254805123128558,-3.1571209132671356,0.0,True
nn_smoother,2,-2.879234790802002,0.056177725570516354,0.03784741554981215,-3.2741922587156296,0.0,True
nn_smoother,3,-3.0718517303466797,0.046335263303004276,0.037765960512060145,-3.276346802711487,0.0,True
nn_smoother,4,-3.012204110622406,0.0491831435035863,0.03759029668617036,-3.2810090333223343,0.0,True
nn_smoother,5,-3.0208898385365806,0.04875780114925517,0.03787185410156971,-3.2735467851161957,0.0,True
nn_smoother,6,-3.258641560872396,0.03844057240980528,0.03810590143615744,-3.267385810613632,0.0,True
nn_smoother,7,-2.970260202884674,0.05128994943634597,0.03721761938683282,-3.2909726947546005,0.0,True
nn_smoother,8,-2.9330321153004966,0.05323536869543483,0.03731269115600133,-3.288421407341957,0.0,True
nn_smoother,9,-3.059226373831431,0.046923969357714805,0.03808889569478031,-3.2678322046995163,0.0,True
nn_smoother,10,-3.2910693089167276,0.03721402334456108,0.03716991465795476,-3.2922552675008774,0.0,True
nn_smoother,11,-3.56976850827535,0.028162362396255827,0.0372839258412744,-3.289192706346512,0.0,True
nn_smoother,12,-3.2758323351542153,0.03778539595603183,0.037621403779155835,-3.2801818251609802,0.0,True
nn_smoother,13,-2.8927724957466125,0.0554223264184623,0.03752305673956663,-3.282799392938614,0.0,True
nn_smoother,14,-2.8824395537376404,0.05599797339875784,0.037078382020862145,-3.294720858335495,0.0,True
nn_smoother,15,-3.1756993730862937,0.04176487308183091,0.03702865907972281,-3.296062782406807,0.0,True
nn_smoother,16,-3.0495301286379495,0.047381170323285204,0.036364057315565836,-3.314174145460129,0.0,True
nn_smoother,17,-2.8494052489598594,0.05787872450049635,0.0373650486818652,-3.2870192378759384,0.0,True
nn_smoother,18,-3.4006378253300986,0.033351979950555645,0.03727030218662062,-3.2895581424236298,0.0,True
nn_smoother,19,-3.0923466881116233,0.04539528755079526,0.04061998064133688,-3.203494906425476,0.0,True
nn_smoother,20,-3.17548402150472,0.041773866971108534,0.03651094450855526,-3.310142859816551,0.0,True
nn_smoother,21,-2.983232855796814,0.05062887974658319,0.036146419961983235,-3.320177063345909,0.0,True
nn_smoother,22,-3.1398834784825644,0.04328783121191369,0.03689267849705612,-3.2997419089078903,0.0,True
nn_smoother,23,-3.1152963240941367,0.04436534644890168,0.04105796123713814,-3.19277024269104,0.0,True
nn_smoother,24,-3.318863312403361,0.03619393701997211,0.0448559277553277,-3.1042992770671844,0.0,True
nn_smoother,25,-2.5865909258524575,0.07527621088572722,0.037358552186044384,-3.2871931344270706,0.0,True
nn_smoother,26,-3.282633622487386,0.037529279040681714,0.037225892977694575,-3.2907503843307495,0.0,True
nn_smoother,27,-3.2798944314320884,0.03763221773218943,0.036504949909313536,-3.31030710041523,0.0,True
nn_smoother,28,-2.990938047568003,0.05024027353003178,0.03730458992861019,-3.288638561964035,0.0,True
nn_smoother,29,-3.105767607688904,0.04479011238044797,0.036977066853368955,-3.297457054257393,0.0,True
nn_smoother,30,-2.630289832750956,0.07205756450842603,0.03876655364971877,-3.250197097659111,0.0,True
learned_transfer,1,-2.107810765504837,0.12150366826404488,0.11221052907481878,-2.1873783841729164,0.0,True
learned_transfer,2,-1.7963031629721324,0.16591108871648813,0.10889983300131091,-2.2173267230391502,0.0,True
learned_transfer,3,-1.8842469851175945,0.15194341981388287,0.11283130783247795,-2.181861311197281,0.0,True
learned_transfer,4,-1.7943275968233745,0.16623918605178395,0.11819505064170098,-2.1354189962148666,0.0,True
learned_transfer,5,-1.7077424029509227,0.1812745594615404,0.1134538849622118,-2.1763587296009064,0.0,True
learned_transfer,6,-2.03365820646286,0.13085593732745363,0.10986677913559297,-2.2084866613149643,0.0,True
learned_transfer,7,-2.2483736673990884,0.10557076866212907,0.10995927058262717,-2.2076451629400253,0.0,True
learned_transfer,8,-1.9240322709083557,0.14601698061422475,0.10961549013550492,-2.210776500403881,0.0,True
learned_transfer,9,-2.3977169195810952,0.09092529957272595,0.10928295677686418,-2.2138147056102753,0.0,True
learned_transfer,10,-2.0238815347353616,0.13214155010537718,0.10996673481085971,-2.2075773030519485,0.0,True
learned_transfer,11,-2.0799039204915366,0.1249422054267456,0.10958023200300886,-2.2110981941223145,0.0,True
learned_transfer,12,-2.0085752407709756,0.13417970485305372,0.10877922266703688,-2.2184348702430725,0.0,True
learned_transfer,13,-2.4261302947998047,0.08837816038355643,0.10874651938478351,-2.2187355160713196,0.0,True
learned_transfer,14,-2.0667145252227783,0.12660103962970432,0.10827076254249972,-2.223120078444481,0.0,True
learned_transfer,15,-1.9468330939610798,0.14272534771799858,0.10863802434803817,-2.2197337448596954,0.0,True
learned_transfer,16,-1.7518582741419475,0.17345131714321055,0.10911924666202977,-2.215313956141472,0.0,True
learned_transfer,17,-2.239456514517466,0.1065163749286155,0.10444383080432729,-2.2591057866811752,0.0,True
learned_transfer,18,-2.2712745467821756,0.10318057891036787,0.1037701087810705,-2.2655772864818573,0.0,True
learned_transfer,19,-1.9222376147905986,0.14627927270487545,0.10204168689884052,-2.282373785972595,0.0,True
learned_transfer,20,-2.0592933694521585,0.127544056359478,0.10425218893312924,-2.2609423100948334,0.0,True
learned_transfer,21,-1.8839463194211323,0.15198911419156697,0.09901521638603816,-2.3124816566705704,0.0,True
learned_transfer,22,-2.2308924992879233,0.10743249120037006,0.09895730286486522,-2.3130667358636856,0.0,True
learned_transfer,23,-2.135979473590851,0.11812881404289047,0.10586201421707954,-2.2456187158823013,0.0,True
learned_transfer,24,-2.0773128469785056,0.12526636080717846,0.10697711758973055,-2.235140234231949,0.0,True
learned_transfer,25,-2.2391253113746643,0.10655165021904996,0.10598195105983522,-2.244486376643181,0.0,True
learned_transfer,26,-1.632737119992574,0.19539401359602368,0.09906035073242123,-2.3120259195566177,0.0,True
learned_transfer,27,-1.8810261090596516,0.15243359800600986,0.09679182008452747,-2.3351927548646927,0.0,True
learned_transfer,28,-2.2353628079096475,0.10695331322745621,0.09649953915045728,-2.338216930627823,0.0,True
learned_transfer,29,-2.2422268191973367,0.10622169316175804,0.0957277064506154,-2.3462474048137665,0.0,True
learned_transfer,30,-2.407288412253062,0.09005915717204077,0.0948245684349286,-2.3557266294956207,0.0,True
combined,1,-2.3333101073900857,0.09697421394936105,0.07777900833726589,-2.5538835525512695,0.0,True
combined,2,-2.6140772104263306,0.07323532787032996,0.07518059065251322,-2.5878620743751526,0.0,True
combined,3,-2.236631611982981,0.10681769096023432,0.07367987801152902,-2.6080254316329956,0.0,True
combined,4,-2.4030567010243735,0.09044106893800864,0.07218204454852445,-2.6285638213157654,0.0,True
combined,5,-2.5390154123306274,0.0789440784129106,0.06954463477768855,-2.6657863557338715,0.0,True
combined,6,-2.4051764408747354,0.09024955569356932,0.06970549573329984,-2.6634759306907654,0.0,True
combined,7,-2.633093317349752,0.0718558328497896,0.07063798041868191,-2.650187134742737,0.0,True
combined,8,-2.405932386716207,0.0901813573818572,0.07404055508479693,-2.603142186999321,0.0,True
combined,9,-2.4351444840431213,0.08758507850126743,0.07024245763857109,-2.6558021754026413,0.0,True
combined,10,-2.6065029303232827,0.07379213705922417,0.07015903728715774,-2.656990498304367,0.0,True
combined,11,-2.398661812146505,0.0908394218163196,0.06963004310613546,-2.664558991789818,0.0,True
combined,12,-2.683790067831675,0.06830377375141486,0.0695367393163644,-2.6658999025821686,0.0,True
combined,13,-2.7843101421991983,0.061771679155400556,0.06780740514988833,-2.6910837292671204,0.0,True
combined,14,-2.5029781659444175,0.08184088771061035,0.06838219312399288,-2.682642623782158,0.0,True
combined,15,-2.4524194995562234,0.08608503741769583,0.06934013700687351,-2.668731227517128,0.0,True
combined,16,-2.3724878629048667,0.09324843607839568,0.06984014238359743,-2.661546140909195,0.0,True
combined,17,-2.313746432463328,0.09889005548867,0.069816373093308,-2.661886528134346,0.0,True
combined,18,-2.5732503732045493,0.07628716704360704,0.06922908919091585,-2.6703339517116547,0.0,True
combined,19,-2.4790806770324707,0.08382023840303664,0.07023691936394673,-2.6558809876441956,0.0,True
combined,20,-2.541314880053202,0.0787627564474834,0.06983650759569908,-2.6615982353687286,0.0,True
detector,1,0.11722580467661221,0.015511395721349025,0.013574326469205809,0.11171484552323818,0.07539024452368419,True
detector,2,0.28797218203544617,0.08386986376817136,0.013574326469205809,0.11095100082457066,0.07443590462207794,True
detector,3,0.1509876623749733,0.029673518583877168,0.013574326469205809,0.10806503519415855,0.07314331084489822,True
detector,4,0.16672783344984055,0.036869766772724896,0.013574326469205809,0.10355345718562603,0.07001221055785815,True
detector,5,0.08705760911107063,0.007800046883251828,0.013574326469205809,0.09462273865938187,0.06419071493049462,True
detector,6,0.061344760159651436,0.003051855370289746,0.013574326469205809,0.08204624126665294,0.051685343186060585,True
detector,7,0.03718683635815978,0.0024008106321000105,0.013574326469205809,0.07134582346770912,0.02937079081311822,True
detector,8,0.04680964956060052,0.008067614018525482,0.013574326469205809,0.06823420626460575,0.01702554492900769,True
detector,9,0.01815888718313848,0.0020394857616767106,0.013574326469205809,0.07083932819659822,0.010134665470104665,True
detector,10,0.06343621845978002,0.011794453656960968,0.013574326469205809,0.07385141064878553,0.00787612923886627,True
detector,11,0.08619898460650195,0.014976821000042643,0.013574326469205809,0.07112174727080856,0.004568641384442647,True
detector,12,0.18881788098951802,0.044458281301655876,0.013574326469205809,0.06841353133495431,0.006419807847123593,True
detector,13,0.3636423577554524,0.10559275137363348,0.013574326469205809,0.06763248145580292,0.014399866786940644,True
detector,14,0.17196515326698622,0.04656557205815499,0.013574326469205809,0.07017279439605772,0.022444291816403467,True
detector,15,0.15838019363582134,0.04393539222151579,0.013574326469205809,0.07341605518013239,0.030820360407233238,True
adaptive,1,-2.104262908299764,0.12182242563636642,0.09867482550234791,-2.314428932964802,0.030926944843182962,True
adaptive,2,-2.1115254759788513,0.12074718481831417,0.09344278130632457,-2.3661129623651505,0.08435987805326779,True
adaptive,3,-2.093297759691874,0.12255243511299999,0.08787873424980965,-2.4251361414790154,0.19728421419858932,True
adaptive,4,-1.9835994442303975,0.13655212013985427,0.08598641805708894,-2.44540723413229,0.24831183751424155,True
adaptive,5,-2.3066665530204773,0.09873764709596865,0.08687506587641189,-2.4335360154509544,0.28741073856751126,True
adaptive,6,-2.6311665376027427,0.07133307079229419,0.08525280313352242,-2.454113356769085,0.30761905014514923,True
adaptive,7,-2.3560235500335693,0.093891312096228,0.08667071574977714,-2.4319525063037872,0.31979434688886005,True
adaptive,8,-2.2246700326601663,0.10652630903954374,0.07606134651512823,-2.565118059515953,0.48977076013882953,True
adaptive,9,-2.467553118864695,0.08390373854358422,0.076550400453786,-2.5606169402599335,0.3510624368985494,True
adaptive,10,-2.3653950293858848,0.09280237453597621,0.0737710639928449,-2.5907273441553116,0.39626361429691315,True
